"delivery_id","total_cbm","delivery_date","metro_name","city","zip","population","lat","lng"
"35739",0.248724,2022-02-23,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"30108",1.9561439999999999,2022-02-04,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"32658",0.5472,2022-02-08,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"34385",0.469721424,2022-02-16,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"32768",0.5472,2022-02-09,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"32025",0.187704,2022-02-08,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"30071",0.187704,2022-02-01,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"34388",0.48,2022-02-16,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"36614",2.237532,2022-03-01,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"02624",0.5472,2022-02-23,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"28394",2.519981,2022-01-31,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"28815",0.5472,2022-01-26,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"32836",0.5396,2022-02-10,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"09325",0.187704,2022-01-27,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"34034",1.197468,2022-02-14,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"32897",1.610325,2022-02-10,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"30173",1.507846,2022-02-01,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"23851",2.237532,2022-01-19,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"23397",0.36332425,2022-01-10,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"24723",0.367821888,2022-01-17,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"26411",3.543199,2022-01-18,"Los Angeles, CA",Los Angeles,"90027",44770.0,34.12521,-118.29057
"36851",0.5472,2022-03-01,"Los Angeles, CA",Los Angeles,"90029",36668.0,34.08984,-118.29471
"31690",0.4,2022-02-07,"Los Angeles, CA",Los Angeles,"90029",36668.0,34.08984,-118.29471
"34045",0.532753,2022-02-14,"Los Angeles, CA",Los Angeles,"90029",36668.0,34.08984,-118.29471
"27568",0.248724,2022-01-27,"Los Angeles, CA",Los Angeles,"90031",39916.0,34.08022,-118.21073
"37039",0.5329309,2022-03-02,"Los Angeles, CA",Los Angeles,"90035",27272.0,34.05182,-118.38351
"34382",0.407067,2022-02-16,"Los Angeles, CA",Los Angeles,"90035",27272.0,34.05182,-118.38351
"32412",1.5974995,2022-02-09,"Los Angeles, CA",Los Angeles,"90035",27272.0,34.05182,-118.38351
"34430",1.41522,2022-02-16,"Los Angeles, CA",Los Angeles,"90035",27272.0,34.05182,-118.38351
"25366",0.986078,2022-01-18,"Los Angeles, CA",Los Angeles,"90035",27272.0,34.05182,-118.38351
"28770",0.5472,2022-01-27,"Los Angeles, CA",Los Angeles,"90035",27272.0,34.05182,-118.38351
"30417",3.543199,2022-02-16,"Los Angeles, CA",Los Angeles,"90035",27272.0,34.05182,-118.38351
"27698",1.023178008,2022-01-20,"Los Angeles, CA",Los Angeles,"90035",27272.0,34.05182,-118.38351
"28067",0.320131,2022-01-24,"Los Angeles, CA",Los Angeles,"90035",27272.0,34.05182,-118.38351
"28731",0.5472,2022-01-26,"Los Angeles, CA",Los Angeles,"90035",27272.0,34.05182,-118.38351
"31286",0.56496,2022-02-04,"Los Angeles, CA",Los Angeles,"90039",29510.0,34.1118,-118.26001
"30210",0.248724,2022-02-01,"Los Angeles, CA",Los Angeles,"90039",29510.0,34.1118,-118.26001
"26847",1.610325,2022-01-19,"Los Angeles, CA",Los Angeles,"90039",29510.0,34.1118,-118.26001
"27415",0.248724,2022-01-21,"Los Angeles, CA",Los Angeles,"90039",29510.0,34.1118,-118.26001
"25401",1.5860980000000002,2022-01-17,"Los Angeles, CA",Los Angeles,"90039",29510.0,34.1118,-118.26001
"34647",1.6341976200000001,2022-02-16,"Los Angeles, CA",Los Angeles,"90039",29510.0,34.1118,-118.26001
"30255",0.571144,2022-02-04,"Los Angeles, CA",Los Angeles,"90039",29510.0,34.1118,-118.26001
"35006",0.8281007499999999,2022-02-17,"Los Angeles, CA",Los Angeles,"90039",29510.0,34.1118,-118.26001
"23076",0.187704,2022-01-27,"Los Angeles, CA",Los Angeles,"90039",29510.0,34.1118,-118.26001
"29623",1.69912,2022-01-28,"Los Angeles, CA",Los Angeles,"90041",29090.0,34.13765,-118.20762
"32792",0.57900375,2022-02-09,"Los Angeles, CA",Los Angeles,"90041",29090.0,34.13765,-118.20762
"24839",0.9701835,2022-01-10,"Los Angeles, CA",Los Angeles,"90041",29090.0,34.13765,-118.20762
"29774",1.69912,2022-01-31,"Los Angeles, CA",Los Angeles,"90041",29090.0,34.13765,-118.20762
"28823",0.57900375,2022-01-28,"Los Angeles, CA",Los Angeles,"90041",29090.0,34.13765,-118.20762
"27388",0.248724,2022-01-27,"Los Angeles, CA",Los Angeles,"90043",45873.0,33.98886,-118.33517
"02692",0.57900375,2022-02-23,"Los Angeles, CA",Los Angeles,"90043",45873.0,33.98886,-118.33517
"31403",0.248724,2022-02-07,"Los Angeles, CA",Los Angeles,"90043",45873.0,33.98886,-118.33517
"29399",0.5472,2022-01-31,"Los Angeles, CA",Los Angeles,"90043",45873.0,33.98886,-118.33517
"27739",0.500118,2022-01-21,"Los Angeles, CA",Los Angeles,"90045",40567.0,33.95297,-118.40014
"33945",1.197468,2022-02-15,"Los Angeles, CA",Los Angeles,"90045",40567.0,33.95297,-118.40014
"33998",0.448546,2022-02-14,"Los Angeles, CA",Los Angeles,"90045",40567.0,33.95297,-118.40014
"31737",0.407067,2022-02-07,"Los Angeles, CA",Los Angeles,"90045",40567.0,33.95297,-118.40014
"30803",1.3961145,2022-02-03,"Los Angeles, CA",Los Angeles,"90045",40567.0,33.95297,-118.40014
"32804",1.69912,2022-02-09,"Los Angeles, CA",Los Angeles,"90045",40567.0,33.95297,-118.40014
"24719",2.278572,2022-01-10,"Los Angeles, CA",Los Angeles,"90045",40567.0,33.95297,-118.40014
"33975",0.532753,2022-02-14,"Los Angeles, CA",Los Angeles,"90047",51411.0,33.9545,-118.309
"34463",0.986078,2022-02-16,"Los Angeles, CA",Los Angeles,"90047",51411.0,33.9545,-118.309
"36811",1.877885,2022-03-01,"Los Angeles, CA",Los Angeles,"90049",36418.0,34.08718,-118.48925
"35108",0.858735,2022-02-18,"Los Angeles, CA",Los Angeles,"90049",36418.0,34.08718,-118.48925
"35158",0.977563125,2022-02-18,"Los Angeles, CA",Los Angeles,"90049",36418.0,34.08718,-118.48925
"25059",0.5329309,2022-01-31,"Los Angeles, CA",Los Angeles,"90049",36418.0,34.08718,-118.48925
"27355",0.248724,2022-01-25,"Los Angeles, CA",Los Angeles,"90049",36418.0,34.08718,-118.48925
"27582",2.20008,2022-01-20,"Los Angeles, CA",Los Angeles,"90049",36418.0,34.08718,-118.48925
"30043",0.57564675,2022-02-03,"Los Angeles, CA",Los Angeles,"90049",36418.0,34.08718,-118.48925
"28011",1.770334,2022-01-21,"Los Angeles, CA",Los Angeles,"90049",36418.0,34.08718,-118.48925
"25782",0.858735,2022-01-12,"Los Angeles, CA",Los Angeles,"90049",36418.0,34.08718,-118.48925
"25280",0.6018309,2022-01-11,"Los Angeles, CA",Los Angeles,"90049",36418.0,34.08718,-118.48925
"27530",0.9753725,2022-01-25,"Los Angeles, CA",Los Angeles,"90057",50152.0,34.06224,-118.27716
"25300",0.9564095,2022-01-24,"Los Angeles, CA",Los Angeles,"90057",50152.0,34.06224,-118.27716
"34025",1.448404875,2022-02-14,"Los Angeles, CA",Los Angeles,"90057",50152.0,34.06224,-118.27716
"36848",0.300762,2022-03-01,"Los Angeles, CA",Los Angeles,"90061",27873.0,33.92045,-118.27403
"32846",2.239903125,2022-02-10,"Los Angeles, CA",Los Angeles,"90063",53980.0,34.0451,-118.18597
"36648",2.519981,2022-02-28,"Los Angeles, CA",Los Angeles,"90065",46461.0,34.10889,-118.22759
"34536",0.5472,2022-02-16,"Los Angeles, CA",Los Angeles,"90065",46461.0,34.10889,-118.22759
"25861",0.5329309,2022-02-03,"Los Angeles, CA",Los Angeles,"90065",46461.0,34.10889,-118.22759
"32537",0.57900375,2022-02-09,"Los Angeles, CA",Los Angeles,"90065",46461.0,34.10889,-118.22759
"36250",0.5472,2022-02-24,"Los Angeles, CA",Los Angeles,"90065",46461.0,34.10889,-118.22759
"26920",0.477057,2022-01-19,"Los Angeles, CA",Los Angeles,"90065",46461.0,34.10889,-118.22759
